jasparfile, jaspar info, jaspar info percentage, sequence, motif, meme strand, jaspar strand, p_value, meme e value, distance score, percentage  score, positional distance, false positive, false negative, fail, promoter length, number of seqs, meme model, markov order
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-3, MEME-1, -, -, 1.31e-05, 97.0, 6.417821782178218, 0.40111386138613864, 98, 0, 0, 1, 100, 5, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-2, MEME-1, +, -, 2.63e-05, 97.0, 6.417821782178218, 0.40111386138613864, -1, 0, 0, 0, 100, 5, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-1, MEME-1, +, -, 4.04e-05, 97.0, 6.417821782178218, 0.40111386138613864, -1, 0, 0, 0, 100, 5, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-4, MEME-1, +, -, 5.45e-05, 97.0, 6.417821782178218, 0.40111386138613864, -1, 0, 0, 0, 100, 5, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-0, MEME-1, -, +, 6.68e-05, 97.0, 6.417821782178218, 0.40111386138613864, 6, 0, 0, 0, 100, 5, zoops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-3, MEME-1, -, -, 1.31e-05, 97.0, 6.417821782178218, 0.40111386138613864, 98, 0, 0, 1, 100, 5, zoops, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-2, MEME-1, +, -, 2.63e-05, 97.0, 6.417821782178218, 0.40111386138613864, -1, 0, 0, 0, 100, 5, zoops, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-1, MEME-1, +, -, 4.04e-05, 97.0, 6.417821782178218, 0.40111386138613864, -1, 0, 0, 0, 100, 5, zoops, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-4, MEME-1, +, -, 5.45e-05, 97.0, 6.417821782178218, 0.40111386138613864, -1, 0, 0, 0, 100, 5, zoops, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-0, MEME-1, -, +, 6.68e-05, 97.0, 6.417821782178218, 0.40111386138613864, 6, 0, 0, 0, 100, 5, zoops, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-3, MEME-1, -, -, 1.31e-05, 97.0, 6.417821782178218, 0.40111386138613864, 98, 0, 0, 1, 100, 5, oops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-2, MEME-1, +, -, 2.63e-05, 97.0, 6.417821782178218, 0.40111386138613864, -1, 0, 0, 0, 100, 5, oops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-1, MEME-1, +, -, 4.04e-05, 97.0, 6.417821782178218, 0.40111386138613864, -1, 0, 0, 0, 100, 5, oops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-4, MEME-1, +, -, 5.45e-05, 97.0, 6.417821782178218, 0.40111386138613864, -1, 0, 0, 0, 100, 5, oops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-0, MEME-1, -, +, 6.68e-05, 97.0, 6.417821782178218, 0.40111386138613864, 6, 0, 0, 0, 100, 5, oops, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-3, MEME-1, -, -, 1.31e-05, 97.0, 6.417821782178218, 0.40111386138613864, 98, 0, 0, 1, 100, 5, oops, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-2, MEME-1, +, -, 2.63e-05, 97.0, 6.417821782178218, 0.40111386138613864, -1, 0, 0, 0, 100, 5, oops, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-1, MEME-1, +, -, 4.04e-05, 97.0, 6.417821782178218, 0.40111386138613864, -1, 0, 0, 0, 100, 5, oops, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-4, MEME-1, +, -, 5.45e-05, 97.0, 6.417821782178218, 0.40111386138613864, -1, 0, 0, 0, 100, 5, oops, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-0, MEME-1, -, +, 6.68e-05, 97.0, 6.417821782178218, 0.40111386138613864, 6, 0, 0, 0, 100, 5, oops, 1
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-3, MEME-1, +, -, 1.41e-05, 620.0, 3.7674257425742574, 0.2354641089108911, 98, 0, 0, 1, 100, 5, anr, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-4, MEME-1, -, -, 4.45e-05, 620.0, 3.7674257425742574, 0.2354641089108911, 0, 0, 0, 0, 100, 5, anr, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-1, MEME-1, -, -, 4.45e-05, 620.0, 3.7674257425742574, 0.2354641089108911, 0, 0, 0, 0, 100, 5, anr, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-3, MEME-1, -, -, 9.9e-05, 620.0, 3.7674257425742574, 0.2354641089108911, 98, 0, 0, 1, 100, 5, anr, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-3, MEME-1, -, -, 9.9e-05, 620.0, 3.7674257425742574, 0.2354641089108911, 0, 0, 0, 0, 100, 5, anr, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-2, MEME-1, -, -, 0.000141, 620.0, 3.7674257425742574, 0.2354641089108911, 0, 0, 0, 0, 100, 5, anr, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-4, MEME-1, -, -, 0.000261, 620.0, 3.7674257425742574, 0.2354641089108911, 98, 0, 0, 1, 100, 5, anr, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-0, MEME-1, +, +, 0.0003, 620.0, 3.7674257425742574, 0.2354641089108911, 2, 0, 0, 0, 100, 5, anr, 0
/tmp/testmotif93054.fa, 10.708357078528657, 0.669272317408041, seq-3, MEME-1, +, -, 1.41e-05, 620.0, 3.7674257425742574, 0.2354641089108911, 98, 0, 0, 1, 100, 5, anr, 1
